tour_key_hash,organization,tour_key,tour_id,contr_num,tour_booked_date,tour_date,tour_status_code,tour_status_desc,tour_type_code,tour_type_desc,tour_wave_code,tour_wave_desc,wave_time,formatted_wave_time,tour_arrival_time,tour_length,manifest_code,manifest_description,office_active___inactive_flag,office_code,office_description,office_division,office_region,office_sales_type,office_site,office_subregion,office_subsite,marketing_box_code,marketing_box_desc,marketing_company_code,marketing_company_desc,channel,marketing_source_department_code_debit,dept_desc,dept_type,tour_channel,marketing_program_code,marketing_program_desc,last_refresh_time,activator_code,activator_desc,tour_disqualification_code,tour_disqualification_desc,tour_purchase_date,tour_activation_date,source_code,source_desc,external_tour_id,office_code_consolidated,office_brand,tour_confirmation_code,tour_confirmation_desc,mobile_office_code,mobile_office_desc,call_center_code,call_center_desc,activation_promotion_code,activation_promotion_desc,customer_care_promotion_code,customer_care_promotion_desc,marketing_package_type_code,marketing_package_type_desc,promotion_code,promotion_desc,summary_code,summary_desc,package_sale_id,tour_length_str,market_link,offer_type,market_mix,item_status,offer_cd,offer_desc,sales_line
375,DRI,DRI_T82390225,82390225,-1,2016-07-26,2016-11-21,7,Reschedule Out,EPP,Exit Program Purchased,FDS,01:15 PM - Non Owner Sampler,1970-01-01T13:15:00.000Z,01:15 PM,null,null,11920,The Suites at Fall Creek,true,PFC,Branson Action Line ,Domestic,North America/Europe,Developer,Missouri,West / Midwest / Atl,Suites at Fall Creek,TSAMP,THE SAMPLER FULFILLED,16370,DRI National Marketing Center,Sampler,16518,Sampler Preview - New Buyers,Direct Marketing NMC,null,TSA,THE Sampler Preview,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,2016-07-26,1900-01-01,TSA,THE Sampler fulfillment,null,DRIPFC,DRI,null,null,null,null,DRI,National Marketing Center,null,null,null,null,null,null,NON,None,null,null,null,null,null,null,null,null,null,null,null
254,DRI,DRI_T8202517,8202517,-1,2004-07-04,2004-07-04,3,No Show,1,Paid Line Tour,2,Cromer Country Club CLine Wave 2,1970-01-01T14:30:00.000Z,02:30 PM,12:00 AM,1970-01-01T00:00:00.000Z,null,null,true,225,Cromer Country Club,International,North America/Europe,Developer,Europe,East,Cromer,null,null,16775,Mainstream Promotions,null,null,null,null,null,14,Bought Lists (Re Qualified),2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,777,Phone Book,null,DRI225,DRI,null,null,null,null,null,null,null,null,null,null,null,null,626,Feria 618 and Sainsbury #50 Voucher,CLD,Cold,null,1970-01-01 00:00:00,null,null,null,null,null,null,null
625,DRI,DRI_T8315869,8315869,-1,2004-12-19,2004-12-19,3,No Show,1,Paid Line Tour,2,Cromer Country Club CLine Wave 2,1970-01-01T14:30:00.000Z,02:30 PM,12:00 AM,1970-01-01T00:00:00.000Z,null,null,true,225,Cromer Country Club,International,North America/Europe,Developer,Europe,East,Cromer,null,null,16775,Mainstream Promotions,null,null,null,null,null,14,Bought Lists (Re Qualified),2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,777,Phone Book,null,DRI225,DRI,null,null,null,null,null,null,null,null,null,null,null,null,643,Feria 615 or B.O.B. and Xmas Hamper,CLD,Cold,null,1970-01-01 00:00:00,null,null,null,null,null,null,null
790,DRI,DRI_T7839032,7839032,-1,2004-10-06,2004-10-06,5,Cancel,1,Paid Line Tour,2,Cromer Country Club CLine Wave 2,1970-01-01T14:30:00.000Z,02:30 PM,12:00 AM,1970-01-01T00:00:00.000Z,null,null,true,225,Cromer Country Club,International,North America/Europe,Developer,Europe,East,Cromer,null,null,16775,Mainstream Promotions,null,null,null,null,null,14,Bought Lists (Re Qualified),2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,777,Phone Book,null,DRI225,DRI,null,null,null,null,null,null,null,null,null,null,null,null,626,Feria 618 and Sainsbury #50 Voucher,CLD,Cold,null,1970-01-01 00:00:00,null,null,null,null,null,null,null
418,DRI,DRI_T8253949,8253949,-1,1992-09-06,1992-09-06,2,Show,1,Paid Line Tour,2,Pine Lake Cold Line Wave 2,1970-01-01T12:30:00.000Z,12:30 PM,02:00 PM,1970-01-01T00:00:00.000Z,null,null,true,5,C-Pine Lake Resort,International,North America/Europe,Developer,Europe,East,Pine Lake,null,null,16699,Quay - Lancaster,null,null,null,null,null,5,RCI Member ,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,5,RCI / II ,null,DRI5,DRI,null,null,null,null,null,null,null,null,null,null,null,null,505,OAH $200 MAHALO & ODENZA,null,null,null,1970-01-01 00:00:00,null,null,null,null,null,null,null
294,DRI,DRI_T7719449,7719449,-1,2004-03-05,2004-03-05,3,No Show,1,Paid Line Tour,2,Pine Lake Cold Line Wave 2,1970-01-01T12:30:00.000Z,12:30 PM,12:00 AM,1970-01-01T00:00:00.000Z,null,null,true,5,C-Pine Lake Resort,International,North America/Europe,Developer,Europe,East,Pine Lake,null,null,16699,Quay - Lancaster,null,null,null,null,null,14,Bought Lists (Re Qualified),2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,7995,L02/NS/C03 Clar Couples for C3/0800,null,DRI5,DRI,null,null,null,null,null,null,null,null,null,null,null,null,618,Rippon 2 Flt Feria (Free Car and UK Break),OMK,Other Marketing,null,1970-01-01 00:00:00,null,null,null,null,null,null,null
160,DRI,DRI_T7514460,7514460,-1,2003-08-31,2003-08-31,2,Show,40,Paid Multi Media,1,Pine Lake Cold Line Wave 1,1970-01-01T10:00:00.000Z,10:00 AM,10:35 AM,1970-01-01T04:35:00.000Z,null,null,true,5,C-Pine Lake Resort,International,North America/Europe,Developer,Europe,East,Pine Lake,null,null,16699,Quay - Lancaster,null,null,null,null,null,14,Bought Lists (Re Qualified),2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,7995,L02/NS/C03 Clar Couples for C3/0800,null,DRI5,DRI,null,null,null,null,null,null,null,null,null,null,null,null,618,Rippon 2 Flt Feria (Free Car and UK Break),OMK,Other Marketing,null,1970-01-01 04:35:00,null,null,null,null,null,null,null
623,DRI,DRI_T7766111,7766111,-1,2005-09-23,2005-09-23,5,Cancel,42,Inhouse Multi Media,1,Cala de Mar Warm Line,1970-01-01T10:00:00.000Z,10:00 AM,12:00 AM,1970-01-01T00:00:00.000Z,null,null,true,234,W-Cala de Mar - Inactive,Domestic,Other,Developer,Other,Other,UNDEFINED,null,null,16707,Onsite Marketing,null,null,null,null,null,72,GVC Explorer 40 Point Member,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,1002,GVC Explorer ,null,DRI234,DRI,null,null,null,null,null,null,null,null,null,null,null,null,8009,GVC Explorer Pointsaver Reservation,TNA,Trial Natural,null,1970-01-01 00:00:00,null,null,null,null,null,null,null
636,DRI,DRI_T7531796,7531796,-1,2004-11-03,2004-11-03,3,No Show,1,Paid Line Tour,2,Woodford Bridge Cold Line Wave 2,1970-01-01T14:00:00.000Z,02:00 PM,12:00 AM,1970-01-01T00:00:00.000Z,null,null,true,4,C-Woodford Bridge Country Club,Domestic,Other,Developer,Other,Other,UNDEFINED,null,null,16699,Quay - Lancaster,null,null,null,null,null,14,Bought Lists (Re Qualified),2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,8202,L0102/C001 Eurodirect Green,null,DRI4,DRI,null,null,null,null,null,null,null,null,null,null,null,null,642,Feria 615 and #100 Sainsbury Vouchers,CLD,Cold,null,1970-01-01 00:00:00,null,null,null,null,null,null,null
243,DRI,DRI_T7888464,7888464,-1,2004-10-01,2004-10-01,5,Cancel,44,Autotour (Non Mkting),1,Sahara Costa Warm Line Wave 1,1970-01-01T10:00:00.000Z,10:00 AM,12:00 AM,1970-01-01T00:00:00.000Z,null,null,true,160,W-Sahara Costa,International,North America/Europe,Developer,Europe,East,Sahara,null,null,16707,Onsite Marketing,null,null,null,null,null,36,Guest Cert (Exchange),2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,5,RCI / II ,null,DRI160,DRI,null,null,null,null,null,null,null,null,null,null,null,null,801,Exchange/Inbound RCI Week Resv,ECH,Exchange ,null,1970-01-01 00:00:00,null,null,null,null,null,null,null
332,DRI,DRI_T7662106,7662106,-1,2005-04-10,2005-04-10,2,Show,21,POD NT PD,2,Thurnham Hall Cold Line Wave 2,1970-01-01T14:30:00.000Z,02:30 PM,02:45 PM,1970-01-01T03:15:00.000Z,null,null,true,223,C-Thurnham Hall,Domestic,Other,Developer,Other,Other,UNDEFINED,411,Liverpool Airport,16781,Cold Line Liverpool,null,null,null,null,null,31,Events and Exhibitions,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,763,Airport Stand,null,DRI223,DRI,null,null,null,null,null,null,null,null,null,null,null,null,640,Feria 615 or B.O.B. Voucher,CLD,Cold,null,1970-01-01 03:15:00,null,null,null,null,null,null,null
457,DRI,DRI_T7868083,7868083,-1,2007-12-04,2007-12-04,4,Show - No tour,44,Autotour (Non Mkting),1,Club Cala Blanca Warm Line Wave 1,1970-01-01T10:00:00.000Z,10:00 AM,07:00 PM,1970-01-01T01:00:00.000Z,null,null,true,237,W-Club Cala Blanca,International,North America/Europe,Developer,Europe,East,Gran Canaria,null,null,16707,Onsite Marketing,null,null,null,null,null,6,Rental Guest ,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,101,LSI Reservations ,null,DRI237,DRI,null,null,null,null,null,null,null,null,null,null,null,null,803,Transient Stay ,ERN,Rentals,null,1970-01-01 01:00:00,null,null,null,null,null,null,null
405,DRI,DRI_T7725742,7725742,-1,2003-02-06,2003-02-06,4,Show - No tour,20,RTP (Returned To Purchase),1,LABC Wave 1,1970-01-01T10:00:00.000Z,10:00 AM,10:00 AM,1970-01-01T00:00:00.000Z,null,null,true,53,F-LABC Dave Stronach,International,North America/Europe,Developer,Europe,East,Los Amigos,null,null,17174,GVC Holidays,null,null,null,null,null,8,Previous Tour No Purchase,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,9061,Flanesford Cold Line Sales Office,null,DRI53,DRI,null,null,null,null,null,null,null,null,null,null,null,null,692,Feria OP2 (2 flights),TNB,Tour No Buy,null,1970-01-01 00:00:00,null,null,null,null,null,null,null
746,DRI,DRI_T83828447,83828447,-1,2016-09-18,2016-09-19,5,Cancel,LIN,Regular Line,FLH,09:00 AM - FL After 7pm,1970-01-01T09:00:00.000Z,09:00 AM,null,null,16476,Cancun Resorts at the Annex,true,PCN,Cancun Las Vegas Line,Domestic,North America/Europe,Developer,Las Vegas,LV HGV,Cancun,WHLS,WHOLESALER,11879,RPM,InHouse,16263,InHouse - NonOwner,OnSite Marketing,OTA ,REN,HOTEL GUEST,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,2016-09-18,1900-01-01,ZETS,EXPEDIA-TRAVELSCAPE,null,DRIPCN,DRI,null,null,null,null,NON,None,null,null,null,null,null,null,NON,None,null,null,null,null,null,null,null,null,null,null,null
267,DRI,DRI_T7738034,7738034,-1,2003-02-14,2003-02-14,5,Cancel,43,Inhouse Non Multi Media,1,Sahara Costa Warm Line Wave 1,1970-01-01T10:00:00.000Z,10:00 AM,12:00 AM,1970-01-01T00:00:00.000Z,null,null,true,160,W-Sahara Costa,International,North America/Europe,Developer,Europe,East,Sahara,null,null,17174,GVC Holidays,null,null,null,null,null,8,Previous Tour No Purchase,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,9005,Pine Lake Cold Line Sales Office,null,DRI160,DRI,null,null,null,null,null,null,null,null,null,null,null,null,695,Feria OP1 (4 flights),OP1,Option1,null,1970-01-01 00:00:00,null,null,null,null,null,null,null
429,DRI,DRI_T7416609,7416609,-1,2003-07-02,2003-07-02,3,No Show,1,Paid Line Tour,1,Broome Park Cold Line Wave 1,1970-01-01T10:00:00.000Z,10:00 AM,12:00 AM,1970-01-01T00:00:00.000Z,null,null,true,173,C-Broome Park Golf and Country Club,Domestic,Other,Developer,Other,Other,UNDEFINED,null,null,16704,Imex Centre (UK),null,null,null,null,null,14,Bought Lists (Re Qualified),2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,8000,L02/NS/C01 Claritas Couples,null,DRI173,DRI,null,null,null,null,null,null,null,null,null,null,null,null,617,Rippon (Feria 2 Flights and Car hire),CLD,Cold,null,1970-01-01 00:00:00,null,null,null,null,null,null,null
369,DRI,DRI_T787891,787891,-1,2000-02-28,2000-02-28,2,Show,QUI,Quinella - Does not count as a tour,016,4:00pm,1970-01-01T16:00:00.000Z,04:00 PM,04:15 PM,null,null,null,true,SVI,SVM - Inhouse Line,Domestic,North America/Europe,Developer,Scottsdale,West / Midwest / Atl,Scottsdale,null,null,10257,RMI-Carlsbad,null,null,null,null,null,INH,In-house,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,1366,SVM-Checkin-Exchanger,null,DRISVI,DRI,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
191,DRI,DRI_T8369416,8369416,-1,2010-11-15,2010-11-15,2,Show,42,Inhouse Multi Media,1,Premier English - 2.30pm,1970-01-01T14:30:00.000Z,02:30 PM,01:31 PM,1970-01-01T01:29:00.000Z,17571,Pine Lake Resort,true,55,W-Pine Lake Resort,International,North America/Europe,Developer,Europe,East,Pine Lake,null,null,16707,Onsite Marketing,null,null,null,null,GVC Member ,10,GVC Member ,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,728,II Inbound Guest,null,DRI55,DRI,null,null,null,null,null,null,null,null,null,null,null,null,802,Exchange/Inbound II Weeks,ECH,Exchange ,null,1970-01-01 01:29:00,null,null,null,null,null,null,null
716,DRI,DRI_T8356112,8356112,-1,2011-09-02,2011-09-02,4,Show - No tour,20,RTP (Returned To Purchase),1,Vacations For You - VDG Wave 1,1970-01-01T10:00:00.000Z,10:00 AM,10:00 AM,1970-01-01T00:00:00.000Z,null,null,true,298,F-Vacations For You - VDG,International,North America/Europe,Developer,Europe,East,Portugal,null,null,16707,Onsite Marketing,null,null,null,null,Rental Guest ,6,Rental Guest ,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,2011-09-02,1900-01-01,767,Interval International,null,DRI298,DRI,null,null,null,null,null,null,null,null,null,null,null,null,386,DRI Rental Program,ERN,Rentals,null,1970-01-01 00:00:00,null,null,null,null,null,null,null
142,DRI,DRI_T8372771,8372771,-1,2009-11-19,2009-11-19,2,Show,42,Inhouse Multi Media,1,Eden Bay Malta (Agency) Wave 1,1970-01-01T10:00:00.000Z,10:00 AM,04:01 PM,1970-01-01T01:44:00.000Z,null,null,true,240,F-Eden Bay Malta (Agency),International,North America/Europe,Developer,Europe,East,Malta,null,null,16707,Onsite Marketing,null,null,null,null,GVC Member ,10,GVC Member ,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,728,II Inbound Guest,null,DRI240,DRI,null,null,null,null,null,null,null,null,null,null,null,null,802,Exchange/Inbound II Weeks,ECH,Exchange ,null,1970-01-01 01:44:00,null,null,null,null,null,null,null
