enterprise_lead_id,tour_date,number_of_developed_contracts_owned,number_of_managed_contracts_owned,number_of_trust_contracts_owned,number_of_vip_sampler_contracts_purchased,number_of_resale_contracts_owned,first_voi_sold_date,most_recent_voi_sold_date,total_spent_life_to_date,total_intervals_owned,total_net_weeks,total_net_points,largest_list_price_purchase
683464727,2021-06-04,1,0,null,0,0,2016-09-02,2017-12-24,34320.00,1.00,0.00,8160,34320.000000000000
682781069,2020-08-15,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
683807287,2025-08-02,1,0,null,1,0,2021-09-18,2023-05-15,26000.00,1.50,0.00,8000,26000.000000000000
683013673,2023-11-07,0,1,null,1,0,2016-02-21,2019-12-05,52210.00,2.00,0.50,5440,36400.000000000000
683775613,2023-09-10,0,1,null,0,0,2014-07-01,2022-01-27,53990.00,1.00,0.00,11200,53990.000000000000
674940575,2022-04-24,1,1,null,0,0,2013-12-28,2019-08-01,125998.00,3.00,0.50,30400,99573.000000000000
675133277,2021-12-20,0,1,null,0,0,2012-08-15,2020-07-04,30490.00,1.00,0.00,7680,30490.000000000000
675587253,2023-07-24,1,0,null,0,0,2009-09-18,2012-10-14,31990.00,1.00,0.50,8000,31990.000000000000
670743311,2022-02-05,1,0,null,0,0,2014-07-26,2021-09-06,27800.00,1.00,0.50,10880,27800.000000000000
677814713,2022-10-27,0,1,null,0,0,2022-05-15,2022-05-15,36990.00,1.00,1.00,16000,36990.000000000000
679323989,2024-06-08,1,1,null,1,1,2007-05-24,2023-08-25,54600.00,2.00,0.00,8000,41295.000000000000
677622081,2025-04-28,1,0,null,0,0,2020-02-25,2024-02-26,30550.00,0.50,0.00,8400,30550.000000000000
679340835,2025-12-06,1,1,null,0,0,2003-07-09,2022-10-08,29470.00,2.00,2.00,15520,17480.000000000000
680438649,2023-01-27,0,1,null,0,0,2013-07-23,2018-06-07,76012.00,1.00,1.00,2720,23260.000000000000
678935763,2024-04-27,1,1,null,0,0,2019-10-18,2023-11-11,74880.00,1.50,1.00,26560,55900.000000000000
691101196,2023-11-10,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
690843215,2024-05-19,1,0,null,0,0,2013-05-03,2023-05-16,35750.00,0.50,0.00,11520,35750.000000000000
690988069,2024-11-04,2,0,null,0,0,2006-07-04,2010-08-25,57321.00,2.00,1.00,25600,43700.000000000000
689812845,2022-02-28,0,1,null,0,0,2017-10-28,2017-10-28,38390.00,1.00,1.00,9280,38390.000000000000
691429947,2024-09-25,1,2,null,0,0,2012-10-08,2024-09-24,232946.00,4.00,1.00,57120,155956.000000000000
689655118,2023-11-15,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
667851095,2024-02-20,1,0,null,0,0,2022-07-27,2023-07-26,102920.00,2.00,1.50,18560,58960.000000000000
667830405,2021-11-15,0,0,null,1,0,null,null,0.00,1.00,0.00,0,1695.000000000000
665721631,2024-11-07,0,1,null,0,0,2014-05-21,2014-10-05,42068.00,1.00,0.50,11200,42068.000000000000
667017447,2022-11-28,1,0,null,0,0,2005-12-29,2009-05-21,62580.00,1.00,1.00,8000,41690.000000000000
664322411,2021-11-07,1,0,null,0,0,2005-02-28,2012-01-13,34637.00,1.00,0.00,11200,34637.000000000000
683019847,2023-11-06,2,1,null,1,0,2005-03-25,2022-05-25,283150.00,4.00,0.50,38880,75416.000000000000
683717918,2025-10-18,0,0,1,1,0,2022-04-03,2023-09-09,27430.00,1.00,0.00,4250,16758.000000000000
682767713,2021-11-29,1,0,null,0,0,2015-09-29,2018-08-16,47285.00,1.00,0.50,9600,47285.000000000000
674860775,2023-07-18,1,0,null,0,0,1999-03-03,2008-01-05,86360.00,1.00,0.00,11200,29190.000000000000
676038485,2024-09-20,1,2,null,0,0,2014-12-02,2022-09-25,250718.00,4.00,2.00,55680,117008.000000000000
676742749,2024-01-30,0,1,null,0,1,2001-06-21,2001-06-21,0.00,0.00,0.00,0,0E-12
676818087,2022-08-06,0,1,null,0,0,2019-04-21,2019-04-21,59990.00,1.00,1.00,13440,59990.000000000000
675380837,2024-12-04,1,0,null,0,0,2011-09-14,2011-09-14,11344.00,0.50,0.50,5440,11344.000000000000
672751175,2023-11-01,0,1,null,0,0,2022-12-08,2022-12-08,22750.00,0.50,0.50,8000,22750.000000000000
672618103,2023-12-08,0,1,null,0,0,2013-12-21,2013-12-21,11310.00,0.50,0.50,5600,11310.000000000000
672859569,2025-03-09,1,0,null,0,0,2009-04-17,2024-11-05,105422.00,2.00,0.00,46080,105422.000000000000
670560093,2022-12-16,1,0,null,0,0,2019-11-16,2020-02-06,53590.00,1.00,0.00,11520,53590.000000000000
680139449,2023-08-25,2,1,null,0,0,2013-01-10,2019-08-02,263970.00,3.00,3.00,54720,114990.000000000000
679914487,2023-01-14,1,0,null,0,0,2013-04-29,2019-07-20,40080.00,1.00,0.50,7680,40080.000000000000
680196151,2022-10-04,0,1,null,1,0,2018-02-22,2018-02-22,36000.00,1.50,0.50,11520,36000.000000000000
680144665,2022-05-13,2,0,null,0,0,2002-03-30,2017-01-07,45572.00,1.50,-0.50,19200,29082.000000000000
692212942,2024-12-06,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
692004915,2022-07-28,1,0,null,0,0,2007-02-20,2015-02-27,24990.00,1.00,0.00,16000,24990.000000000000
664157801,2022-06-04,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
666781077,2022-01-16,2,1,null,0,0,2001-09-27,2019-05-24,359570.00,7.00,2.00,78080,206125.000000000000
667300977,2022-12-27,1,0,null,0,0,2015-05-30,2019-05-30,41250.00,1.00,0.50,7440,41250.000000000000
666931631,2021-12-13,0,0,null,1,0,null,null,0.00,1.00,0.00,0,1695.000000000000
667388045,2023-01-24,0,0,null,1,0,null,null,0.00,1.00,0.00,0,1795.000000000000
681060983,2021-09-28,0,2,null,0,0,2013-10-27,2020-03-04,91516.00,2.00,1.00,22400,68026.000000000000
681613083,2023-05-31,1,1,null,0,0,2005-12-28,2022-04-15,156640.00,4.00,2.00,45200,115872.000000000000
683358175,2023-09-19,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
682322451,2022-05-16,1,0,null,0,0,1999-02-12,2001-12-02,19450.00,1.00,0.00,11200,19450.000000000000
683056073,2023-07-11,0,1,null,0,0,2016-07-13,2018-03-27,24405.00,1.00,0.00,5440,24405.000000000000
682015725,2025-10-02,1,0,null,0,0,2023-09-07,2024-11-20,31200.00,0.50,-0.50,8400,31200.000000000000
682362807,2022-09-17,2,0,null,0,0,2017-02-03,2021-09-17,167935.00,4.00,0.50,38400,102285.000000000000
681129701,2025-05-11,1,0,null,0,0,2011-01-07,2017-03-12,62012.00,1.00,0.00,14880,62012.000000000000
670664825,2021-08-31,0,1,null,0,0,2015-03-28,2017-08-26,37640.00,0.50,0.50,8000,27070.000000000000
670552161,2024-08-01,0,1,null,0,0,2017-11-21,2017-11-21,15210.00,0.50,0.50,5440,15210.000000000000
673453541,2022-07-05,0,0,null,1,0,null,null,0.00,1.00,0.00,0,1795.000000000000
670667945,2021-03-11,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
671218205,2016-10-03,0,1,null,0,0,2013-10-07,2013-10-07,11640.00,0.50,0.50,6560,11640.000000000000
671596815,2023-05-18,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
672673217,2023-06-28,1,0,null,2,0,2005-05-12,2019-08-22,76640.00,3.00,-1.00,16000,76640.000000000000
